operation_date,operation_start_time_est,operation_close_time_est,settlement_date,preliminary_ann_pdf,preliminary_ann_xml,final_ann_pdf,final_ann_xml,results_pdf,results_xml,special_ann_pdf,operation_type,security_type,maturity_bucket,nbr_issues_accepted,total_par_amt_offered,par_amt_per_offer,max_par_amt_redeemed,max_nbr_offers,nbr_issues_eligible,total_par_amt_accepted
2014-10-09,01:30 PM,02:00 PM,2014-10-10,null,null,BBA_20141002_1.pdf,null,"BBSR_20141009_1.pdf, BBDR_20141009_1.pdf",null,BBSPL_20141002_1.pdf,null,null,null,1,22000000.00,1000000.00,null,1,1,22000000.00
2002-04-25,10:30 AM,11:00 AM,2002-04-29,null,null,ofbba42402.pdf,null,"ofbbr42502p1.pdf, ofbbr42502p2.pdf",null,null,null,null,null,8,5186000000.00,100000.00,null,null,12,1500000000.00
2002-04-23,10:30 AM,11:00 AM,2002-04-25,null,null,ofbba42202.pdf,null,"ofbbr42302p1.pdf, ofbbr42302p2.pdf",null,null,null,null,null,8,5088000000.00,100000.00,null,null,10,1500000000.00
2002-04-18,10:30 AM,11:00 AM,2002-04-22,null,null,ofbba41702.pdf,null,"ofbbr41802p1.pdf, ofbbr41802p2.pdf",null,null,null,null,null,8,6213000000.00,100000.00,null,null,13,1000000000.00
2001-12-20,10:30 AM,11:00 AM,2001-12-24,null,null,ofbba121901.pdf,null,"ofbbr122001p1.pdf, ofbbr122001p2.pdf",null,null,null,null,null,3,4906000000.00,100000.00,null,null,10,1250000000.00
2001-12-13,10:30 AM,11:00 AM,2001-12-17,null,null,ofbba121201.pdf,null,"ofbbr121301p1.pdf, ofbbr121301p2.pdf",null,null,null,null,null,9,5393000000.00,100000.00,null,null,12,1500000000.00
2001-11-29,10:30 AM,11:00 AM,2001-12-03,null,null,ofbba112801.pdf,null,"ofbbr112901p1.pdf, ofbbr112901p2.pdf",null,null,null,null,null,9,4654000000.00,100000.00,null,null,10,1500000000.00
2001-11-15,10:30 AM,11:00 AM,2001-11-19,null,null,ofbba111401.pdf,null,"ofbbr111501p1.pdf, ofbbr111501p2.pdf",null,null,null,null,null,10,7617000000.00,100000.00,null,null,12,1750000000.00
2001-10-25,10:30 AM,11:00 AM,2001-10-29,null,null,ofbba102401.pdf,null,"ofbbr102501p1.pdf, ofbbr102501p2.pdf",null,null,null,null,null,2,5044000000.00,100000.00,null,null,10,1000000000.00
2001-10-18,10:30 AM,11:00 AM,2001-10-22,null,null,ofbba101701.pdf,null,"ofbbr101801p1.pdf, ofbbr101801p2.pdf",null,null,null,null,null,5,5632000000.00,100000.00,null,null,11,1500000000.00
2001-08-23,10:30 AM,11:00 AM,2001-08-27,null,null,ofbba82201.pdf,null,"ofbbr82301p1.pdf, ofbbr82301p2.pdf",null,null,null,null,null,10,6765000000.00,100000.00,null,null,12,1750000000.00
2001-08-16,10:30 AM,11:00 AM,2001-08-20,null,null,ofbba81501.pdf,null,"ofbbr81601p1.pdf, ofbbr81601p2.pdf",null,null,null,null,null,7,10452000000.00,100000.00,null,null,12,1751000000.00
2001-07-26,10:30 AM,11:00 AM,2001-07-30,null,null,ofbba72501.pdf,null,"ofbbr72601p1.pdf, ofbbr72601p2.pdf",null,null,null,null,null,2,6078000000.00,100000.00,null,null,10,1000000000.00
2001-07-19,10:30 AM,11:00 AM,2001-07-23,null,null,ofbba71801.pdf,null,"ofbbr71901p1.pdf, ofbbr71901p2.pdf",null,null,null,null,null,6,6079000000.00,100000.00,null,null,11,1500000000.00
2001-06-28,10:30 AM,11:00 AM,2001-07-02,null,null,ofbba62701.pdf,null,"ofbbr62801p1.pdf, ofbbr62801p2.pdf",null,null,null,null,null,11,7643000000.00,100000.00,null,null,12,1750000000.00
